"Region, Province, and Highly Urbanized City","Average 
Household Size "
,
Philippines,4.1
,
National Capital Region (NCR),3.8
City of Manila,3.8
City of Mandaluyong,3.6
City of Marikina,4.3
City of Pasig,3.8
Quezon City,4
City of San Juan,4
City of Caloocan,4.1
City of Malabon,4
City of Navotas,3.9
City of Valenzuela,3.7
City of Las Piñas,3.9
City of Makati,3.3
City of Muntinlupa,3.8
City of Parañaque,3.8
Pasay City,3.4
City of Taguig,3.6
Municipality of Pateros,4.1
,
Cordillera Administrative Region (CAR),4.1
Abra,4.2
Apayao,4.3
Benguet,3.9
City of Baguio,3.6
Ifugao,4.2
Kalinga,4.8
Mountain Province,4.2
,
Region I (Ilocos Region),4.1
Ilocos Norte,4
Ilocos Sur,4.1
La Union,4
Pangasinan,4.1
,
Region II (Cagayan Valley),4.1
Batanes,3.4
Cagayan,4.2
Isabela,4
Nueva Vizcaya,3.9
Quirino,4.1
,
Region III (Central Luzon),4.1
Aurora,4.1
Bataan,4.1
Bulacan,4
Nueva Ecija,4
Pampanga,4.2
City of Angeles,4
Tarlac,4.2
Zambales,3.9
City of Olongapo,3.9
,
Region IV-A (CALABARZON),4
Batangas,4.1
Cavite,3.9
Laguna,3.7
Quezon,4
City of Lucena,4.2
Rizal,4.2
,
MIMAROPA Region,4.1
Marinduque,3.9
Occidental Mindoro,4.1
Oriental Mindoro,4.2
Palawan,4
City of Puerto Princesa,3.7
Romblon,4
,
Region V (Bicol Region),4.4
Albay,4.4
Camarines Norte,4.4
Camarines Sur,4.5
Catanduanes,4.5
Masbate,4.4
Sorsogon,4.4
,
Region VI (Western Visayas),4.1
Aklan,4
Antique,4.1
Capiz,4
Guimaras,4
Iloilo,4
City of Iloilo,4.4
Negros Occidental 1,4.1
City of Bacolod 1,4.2
,
Region VII (Central Visayas),4.1
Bohol,4.3
Cebu,4.1
City of Cebu,4
City of Lapu-Lapu (Opon),3.8
City of Mandaue,3.5
Negros Oriental 1,4.1
Siquijor,4
,
Region VIII (Eastern Visayas),4.2
Biliran,4.2
Eastern Samar,4.1
Leyte,4
City of Tacloban,4.4
Northern Samar,4.6
Samar (Western Samar),4.4
Southern Leyte,4.2
,
Region IX (Zamboanga Peninsula),4.3
Zamboanga del Norte,4.2
Zamboanga del Sur,4.4
City of Zamboanga,4.3
Zamboanga Sibugay,4.3
City of Isabela,4.9
,
Region X (Northern Mindanao),4.2
Bukidnon,4.3
Camiguin,4.2
Lanao del Norte,4.5
City of Iligan,4.2
Misamis Occidental,4.1
Misamis Oriental,4.1
City of Cagayan de Oro,3.8
,
Region XI (Davao Region),3.9
Davao de Oro (Compostela Valley) 2,4.1
Davao del Norte,4.1
Davao del Sur,3.7
City of Davao,3.7
Davao Occidental,4.1
Davao Oriental,4.1
,
Region XII (SOCCSKSARGEN),4.1
Cotabato (North Cotabato),4.1
 (excluding 63 barangays now part of BARMM) 3,
Sarangani,4.2
South Cotabato,4
City of General Santos (Dadiangas),4
Sultan Kudarat,4.2
,
Region XIII (Caraga),4.2
Agusan del Norte,4.2
City of Butuan,4.1
Agusan del Sur,4.2
Dinagat Islands,4.4
Surigao del Norte,4.2
Surigao del Sur,4.3
,
Bangsamoro Autonomous Region,
in Muslim Mindanao (BARMM) 3,5.9
Basilan (excluding the City of Isabela),5.8
Lanao del Sur,6.5
Maguindanao (including the City of Cotabato) 3,5.8
Sulu,6
Tawi-Tawi,5.9
Interim Province ,4.5
(composed of 63 barangays from Cotabato) 3,
