"A.  POPULATION AND ANNUAL GROWTH RATE FOR THE PHILIPPINES AND ITS REGIONS, PROVINCES, AND HIGHLY URBANIZED CITIES",,,,,,,,,,,,,,,,,,,,,
"BASED ON THE 2000, 2010, 2015, AND 2020 CENSUSES",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"REGION, PROVINCE, AND HIGHLY URBANIZED CITY",,TOTAL POPULATION,,,,,,,,"POPULATION GROWTH RATE
(in percent)",,,,,,,,,,,
,,1-May-00,,1-May-10,,1-Aug-15,,1-May-20,,2000-2010,"2010-
2015","2015-
2020","2010-
2020",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
PHILIPPINES,,"76,506,928",a,"92,337,852",b,"100,981,437",c,"109,035,343",d,1.90,1.72,1.63,1.67,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NATIONAL CAPITAL REGION (NCR),,"9,932,560",,"11,855,975",,"12,877,253",,"13,484,462",,1.78,1.58,0.97,1.29,,,,,,,,
CITY OF MANILA,,"1,581,082",,"1,652,171",,"1,780,148",,"1,846,513",,0.44,1.43,0.77,1.12,,,,,,,,
CITY OF MANDALUYONG,,"278,474",,"328,699",,"386,276",,"425,758",,1.67,3.12,2.07,2.62,,,,,,,,
CITY OF MARIKINA,,"391,170",,"424,150",,"450,741",,"456,059",,0.81,1.16,0.25,0.73,,,,,,,,
CITY OF PASIG,,"505,058",,"669,773",,"755,300",,"803,159",,2.86,2.31,1.30,1.83,,,,,,,,
QUEZON CITY,,"2,173,831",,"2,761,720",,"2,936,116",,"2,960,048",,2.42,1.17,0.17,0.70,,,,,,,,
CITY OF SAN JUAN,,"117,680",,"121,430",,"122,180",,"126,347",,0.31,0.12,0.71,0.40,,,,,,,,
CITY OF CALOOCAN,,"1,177,604",,"1,489,040",,"1,583,978",,"1,661,584",,2.37,1.18,1.01,1.10,,,,,,,,
CITY OF MALABON,,"338,855",,"353,337",,"365,525",,"380,522",,0.42,0.65,0.85,0.74,,,,,,,,
CITY OF NAVOTAS,,"230,403",,"249,131",,"249,463",,"247,543",,0.78,0.03,-0.16,-0.06,,,,,,,,
CITY OF VALENZUELA,,"485,433",,"575,356",,"620,422",,"714,978",,1.71,1.45,3.03,2.19,,,,,,,,
CITY OF LAS PIÑAS,,"472,780",,"552,573",,"588,894",,"606,293",,1.57,1.22,0.61,0.93,,,,,,,,
CITY OF MAKATI,,"471,379",,"529,039",,"582,602",,"629,616",,1.16,1.85,1.65,1.75,,,,,,,,
CITY OF MUNTINLUPA,,"379,310",,"459,941",,"504,509",,"543,445",,1.95,1.78,1.58,1.68,,,,,,,,
CITY OF PARAÑAQUE,,"449,811",,"588,126",,"665,822",,"689,992",,2.72,2.39,0.75,1.61,,,,,,,,
PASAY CITY,,"354,908",,"392,869",,"416,522",,"440,656",,1.02,1.12,1.19,1.15,,,,,,,,
PATEROS,,"57,407",,"64,147",,"63,840",,"65,227",,1.12,-0.09,0.45,0.17,,,,,,,,
TAGUIG CITY,,"467,375",,"644,473",,"804,915",,"886,722",,3.26,4.32,2.06,3.24,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),,"1,365,412",,"1,616,867",,"1,722,006",,"1,797,660",,1.70,1.21,0.91,1.06,,,,,,,,
ABRA,,"209,491",,"234,733",,"241,160",,"250,985",,1.14,0.52,0.84,0.67,,,,,,,,
APAYAO,,"97,129",,"112,636",,"119,184",,"124,366",,1.49,1.08,0.90,0.99,,,,,,,,
BENGUET *,,"330,129",,"403,944",,"446,224",,"460,683",,2.04,1.91,0.67,1.32,,,,,,,,
CITY OF BAGUIO,,"252,386",,"318,676",,"345,366",,"366,358",,2.36,1.54,1.25,1.40,,,,,,,,
IFUGAO,,"161,623",,"191,078",,"202,802",,"207,498",,1.69,1.14,0.48,0.83,,,,,,,,
KALINGA,,"174,023",,"201,613",,"212,680",,"229,570",,1.48,1.02,1.62,1.31,,,,,,,,
MOUNTAIN PROVINCE,,"140,631",,"154,187",,"154,590",,"158,200",,0.92,0.05,0.49,0.26,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
REGION I (ILOCOS REGION),,"4,200,478",,"4,748,372",,"5,026,128",,"5,301,139",,1.23,1.09,1.13,1.11,,,,,,,,
ILOCOS NORTE,,"514,241",,"568,017",,"593,081",,"609,588",,1.00,0.83,0.58,0.71,,,,,,,,
ILOCOS SUR,,"594,206",,"658,587",,"689,668",,"706,009",,1.03,0.88,0.49,0.70,,,,,,,,
LA UNION,,"657,945",,"741,906",,"786,653",,"822,352",,1.21,1.12,0.94,1.03,,,,,,,,
PANGASINAN,,"2,434,086",,"2,779,862",,"2,956,726",,"3,163,190",,1.34,1.18,1.43,1.30,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),,"2,813,159",,"3,229,163",,"3,451,410",,"3,685,744",,1.39,1.27,1.39,1.33,,,,,,,,
BATANES,,"16,467",,"16,604",,"17,246",,"18,831",,0.08,0.72,1.87,1.27,,,,,,,,
CAGAYAN,,"993,580",,"1,124,773",,"1,199,320",,"1,268,603",,1.25,1.23,1.19,1.21,,,,,,,,
ISABELA,,"1,287,575",,"1,489,645",,"1,593,566",,"1,697,050",,1.47,1.29,1.33,1.31,,,,,,,,
NUEVA VIZCAYA,,"366,962",,"421,355",,"452,287",,"497,432",,1.39,1.36,2.02,1.67,,,,,,,,
QUIRINO,,"148,575",,"176,786",,"188,991",,"203,828",,1.75,1.28,1.60,1.43,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),,"8,204,742",,"10,137,737",,"11,218,177",,"12,422,172",,2.14,1.95,2.17,2.05,,,,,,,,
AURORA,,"173,797",,"201,233",,"214,336",,"235,750",,1.48,1.21,2.02,1.59,,,,,,,,
BATAAN,,"557,659",,"687,482",,"760,650",,"853,373",,2.11,1.94,2.45,2.18,,,,,,,,
BULACAN,,"2,234,088",,"2,924,433",,"3,292,071",,"3,708,890",,2.73,2.28,2.54,2.40,,,,,,,,
NUEVA ECIJA,,"1,659,883",,"1,955,373",,"2,151,461",,"2,310,134",,1.65,1.84,1.51,1.68,,,,,,,,
PAMPANGA *,,"1,614,942",,"2,014,019",,"2,198,110",,"2,437,709",,2.23,1.68,2.20,1.93,,,,,,,,
CITY OF ANGELES,,"267,788",,"326,336",,"411,634",,"462,928",,2.00,4.52,2.50,3.56,,,,,,,,
TARLAC,,"1,068,783",,"1,273,240",,"1,366,027",,"1,503,456",,1.76,1.35,2.04,1.67,,,,,,,,
ZAMBALES *,,"433,542",,"534,443",,"590,848",,"649,615",,2.11,1.93,2.01,1.97,,,,,,,,
CITY OF OLONGAPO,,"194,260",,"221,178",,"233,040",,"260,317",,1.31,1.00,2.36,1.64,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
