" Population by Age Group, by Sex and by Region: 2015",,,,,,,,,
,,,,,,,,,
Region/Age Group,Both Sexes,Male,Female,,Region/Age Group,Both Sexes,Male,Female,
,,,,,,,,,
  Philippines,"100,979,303a",,,,National Capital Region,"12,877,253","6,368,365","6,508,888",
Under 1,"2,076,015","1,073,401","1,002,614",,Under 1,"239,132","124,258","114,874",
01-Apr,"8,742,916","4,517,084","4,225,832",,01-Apr,"961,311","497,923","463,388",
05-Sep,"10,842,920","5,596,837","5,246,083",,05-Sep,"1,163,719","600,902","562,817",
Oct-14,"10,493,942","5,405,418","5,088,524",,Oct-14,"1,135,592","583,036","552,556",
15-19,"10,191,185","5,202,239","4,988,946",,15-19,"1,253,803","618,218","635,585",
20-24,"9,467,494","4,795,772","4,671,722",,20-24,"1,349,005","661,172","687,833",
25-29,"8,360,447","4,252,817","4,107,630",,25-29,"1,265,102","626,570","638,532",
30-34,"7,341,894","3,755,963","3,585,931",,30-34,"1,104,618","555,830","548,788",
35-39,"6,742,687","3,447,349","3,295,338",,35-39,"963,867","480,592","483,275",
40-44,"5,849,328","2,995,391","2,853,937",,40-44,"817,789","408,420","409,369",
45-49,"5,284,325","2,680,464","2,603,861",,45-49,"712,253","347,683","364,570",
50-54,"4,430,547","2,227,579","2,202,968",,50-54,"591,442","282,371","309,071",
55-59,"3,606,834","1,785,436","1,821,398",,55-59,"468,406","220,867","247,539",
60-64,"2,761,183","1,325,815","1,435,368",,60-64,"345,164","158,211","186,953",
65-69,"1,916,125","878,327","1,037,798",,65-69,"223,238","98,704","124,534",
70-74,"1,220,080","523,237","696,843",,70-74,"122,964","49,693","73,271",
75-79,"859,098","338,520","520,578",,75-79,"83,702","30,692","53,010",
80 years and over,"792,283","268,313","523,970",,80-84,"76,146","23,223","52,923",
,,,,,,,,,
,,,,,,,,,
Region/Age Group,Both Sexes,Male,Female,,Region/Age Group,Both Sexes,Male,Female,
,,,,,,,,,
Cordillera Administrative Region,"1,722,006","879,340","842,666",,I - Ilocos Region,"5,026,128","2,536,297","2,489,831",
