Region ,Rural Population          ('000),Rural Population within 2-km from an akk-season road              ('000),RAI
,,,
,,,
,,,
Region 1 (Ilocos Region),3185.1,2648.7,83.159
Region III (Central Luzon),5120.6,3999.9,79.114
Region VII (Central Visayas),3648.6,2790.8,76.49
Region V (Bicol Region),4301.7,3288.6,76.45
Region VIII (Eastern Visayas),3472.8,2616.3,75.337
Region IV-A (Calabarzon) ,4480.2,3347.8,74.725
Region VI (Western Visayas),5204.9,3696.7,71.023
Region II (Cagayan Valley),2928.6,2059,70.304
Region X (Northern Mindanao),3109,2184.2,70.253
Region XI (Davao Region),3279.5,2229.8,67.992
Region XIII (Caraga) ,2068.3,1395.2,67.458
Region IX (Zamboang Peninsula),2755.2,1766.4,64.112
MIMAROPA Region,2160.8,1378.7,63.805
Region XII (SOCCSKSARGEN),3207.7,1921.7,59.91
"Autonomous Region
In Muslim Mindanao
(ARMM)",1813.4,895.8,49.396
"Cordillera Administrative Region
(CAR)",1175.6,279.8,23.797
