Projected Population by Age Group and by Sex: 2010 to 2020 Medium Assumption,,,,,,,,,,,
,,,,,,,,,,,
Age/Sex,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
15-19,"9,736,800","9,823,500","9,906,900","9,987,000",,,,,,,
20-24,"8,435,900","8,671,800","8,910,500","9,152,000","9,396,400","9,643,400","9,728,900","9,811,900","9,892,300","9,970,100",
25-29,"7,447,800","7,622,200","7,797,800","7,974,800","8,153,000","8,332,500","8,567,900","8,806,400","9,047,900","9,292,500","9,540,100"
30-34,"6,794,800","6,905,400","7,015,500","7,124,900","7,233,700","7,342,000","7,516,300","7,692,100","7,869,600","8,048,600","8,229,200"
35-39,"6,033,400","6,162,600","6,292,400","6,422,800","6,553,800","6,685,300","6,796,200","6,907,000","7,017,600","7,128,200","7,238,600"
40-44,"5,489,400","5,575,900","5,661,800","5,747,200","5,832,100","5,916,400","6,046,000","6,176,600","6,308,000","6,440,400","6,573,800"
45-49,"4,695,800","4,824,000","4,953,600","5,084,700","5,217,200","5,351,200","5,438,600","5,526,000","5,613,200","5,700,300","5,787,300"
50-54,"3,907,500","4,028,500","4,151,400","4,275,800","4,402,000","4,530,000","4,657,900","4,787,400","4,918,500","5,051,400","5,185,800"
55-59,"2,996,800","3,132,400","3,270,800","3,412,100","3,556,200","3,703,100","3,822,700","3,944,100","4,067,300","4,192,300","4,319,200"
60-64,"2,235,700","2,337,400","2,441,200","2,547,200","2,655,200","2,765,500","2,896,000","3,029,000","3,164,900","3,303,400","3,444,600"
65-69,"1,502,400","1,593,100","1,686,100","1,781,300","1,878,800","1,978,400","2,073,200","2,170,000","2,268,800","2,369,600","2,472,300"
70-74,"1,146,200","1,166,900","1,187,500","1,208,200","1,228,700","1,249,200","1,329,100","1,410,800","1,494,600","1,580,200","1,667,600"
75-79,"709,400","740,300","771,900","803,900","836,800","870,200","889,200","908,300","927,600","947,100","966,600"
80 and over,"667,800","688,800","710,200","731,800","753,800","776,000","810,900","846,500","882,800","919,900","957,700"
,,,,,,,,,,,
  Male,,,,,,,,,,,
,,,,,,,,,,,
0-4,"5,505,200","5,571,100","5,635,800","5,699,200","5,761,200","5,822,000","5,842,500","5,860,400","5,875,800","5,888,600","5,898,900"
05-Sep,"5,349,600","5,375,600","5,398,900","5,419,700","5,437,800","5,453,300","5,518,500","5,582,800","5,646,200","5,708,700","5,770,300"
Oct-14,"5,254,000","5,271,000","5,285,200","5,296,500","5,304,900","5,310,500","5,335,600","5,358,600","5,379,500","5,398,200","5,414,800"
15-19,"4,947,500","5,003,000","5,057,200","5,110,200","5,161,800","5,212,100","5,228,100","5,241,700","5,253,000","5,261,900","5,268,400"
20-24,"4,270,800","4,394,300","4,519,400","4,646,000","4,774,300","4,904,000","4,959,300","5,013,600","5,067,100","5,119,600","5,171,200"
25-29,"3,758,500","3,849,900","3,942,100","4,035,100","4,128,800","4,223,300","4,346,900","4,472,200","4,599,100","4,727,800","4,858,100"
