Age/Sex,2017,2018,2019,2020
  Male,"52,927,400","53,772,800","54,617,400","55,460,900"
0-4,"5,860,400","5,875,800","5,888,600","5,898,900"
5-9,"5,582,800","5,646,200","5,708,700","5,770,300"
10-14,"5,358,600","5,379,500","5,398,200","5,414,800"
15-19,"5,241,700","5,253,000","5,261,900","5,268,400"
20-24,"5,013,600","5,067,100","5,119,600","5,171,200"
25-29,"4,472,200","4,599,100","4,727,800","4,858,100"
30-34,"3,886,300","3,979,700","4,074,000","4,169,200"
35-39,"3,492,800","3,543,200","3,593,400","3,643,300"
40-44,"3,126,800","3,192,300","3,258,300","3,324,800"
45-49,"2,789,300","2,832,400","2,875,400","2,918,300"
50-54,"2,400,000","2,465,500","2,531,900","2,599,000"
55-59,"1,950,800","2,012,100","2,074,300","2,137,400"
60-64,"1,464,600","1,531,000","1,598,700","1,667,800"
65-69,"1,006,600","1,055,400","1,105,300","1,156,100"
70-74,"613,400","652,300","692,000","732,600"
75-79,"365,200","373,200","381,300","389,400"
80 and over,"302,300","315,000","328,000","341,300"
  Female,"51,994,000","52,825,800","53,656,900","54,487,000"
0-4,"5,541,200","5,555,500","5,567,400","5,576,900"
5-9,"5,319,600","5,368,700","5,416,600","5,463,300"
10-14,"5,062,700","5,105,400","5,146,900","5,187,000"
15-19,"4,938,300","4,941,400","4,942,000","4,940,100"
20-24,"4,798,300","4,825,200","4,850,500","4,874,200"
25-29,"4,334,200","4,448,800","4,564,700","4,682,000"
30-34,"3,805,800","3,889,900","3,974,600","4,060,000"
35-39,"3,414,200","3,474,400","3,534,800","3,595,300"
40-44,"3,049,800","3,115,700","3,182,100","3,249,000"
45-49,"2,736,700","2,780,800","2,824,900","2,869,000"
50-54,"2,387,400","2,453,000","2,519,500","2,586,800"
55-59,"1,993,300","2,055,200","2,118,000","2,181,800"
60-64,"1,564,400","1,633,900","1,704,700","1,776,800"
65-69,"1,163,400","1,213,400","1,264,300","1,316,200"
70-74,"797,400","842,300","888,200","935,000"
75-79,"543,100","554,400","565,800","577,200"
80 and over,"544,200","567,800","591,900","616,400"
