"TABLE 1.  Total Population, Household Population, Number of Households, and Average Household Size ",,,,,,,,,
"by Region, Province, and Highly Urbanized City: Philippines, 2020",,,,,,,,,
,,,,,,,,,
"Region, Province, and Highly Urbanized City",,Total Population,,Household Population,"Number 
of Households","Average 
Household Size ",,,
,,,,,,,,,
Philippines,,"109,035,343",a,"108,667,043","26,393,906",4.1,,,
,,,,,,,,,
National Capital Region (NCR),,"13,484,462",,"13,403,551","3,499,652",3.8,,,
City of Manila,,"1,846,513",,"1,837,785","486,293",3.8,,,
City of Mandaluyong,,"425,758",,"419,333","116,954",3.6,,,
City of Marikina,,"456,059",,"452,961","104,415",4.3,,,
City of Pasig,,"803,159",,"801,439","212,895",3.8,,,
Quezon City,,"2,960,048",,"2,950,493","738,724",4.0,,,
City of San Juan,,"126,347",,"124,699","31,519",4.0,,,
City of Caloocan,,"1,661,584",,"1,659,025","404,252",4.1,,,
City of Malabon,,"380,522",,"379,463","94,241",4.0,,,
City of Navotas,,"247,543",,"246,743","63,167",3.9,,,
City of Valenzuela,,"714,978",,"713,181","193,025",3.7,,,
City of Las Piñas,,"606,293",,"604,283","156,899",3.9,,,
City of Makati,,"629,616",,"624,032","186,381",3.3,,,
City of Muntinlupa,,"543,445",,"519,112","138,331",3.8,,,
City of Parañaque,,"689,992",,"686,313","182,216",3.8,,,
Pasay City,,"440,656",,"437,003","127,629",3.4,,,
City of Taguig,,"886,722",,"882,622","246,873",3.6,,,
Municipality of Pateros,,"65,227",,"65,064","15,838",4.1,,,
,,,,,,,,,
Cordillera Administrative Region (CAR),,"1,797,660",,"1,791,121","439,166",4.1,,,
Abra,,"250,985",,"250,309","58,956",4.2,,,
Apayao,,"124,366",,"123,937","28,862",4.3,,,
Benguet,,"460,683",,"459,468","116,692",3.9,,,
City of Baguio,,"366,358",,"363,151","100,220",3.6,,,
Ifugao,,"207,498",,"207,130","48,756",4.2,,,
Kalinga,,"229,570",,"229,328","48,079",4.8,,,
Mountain Province,,"158,200",,"157,798","37,601",4.2,,,
,,,,,,,,,
Region I (Ilocos Region),,"5,301,139",,"5,292,297","1,306,256",4.1,,,
Ilocos Norte,,"609,588",,"608,508","152,972",4.0,,,
Ilocos Sur,,"706,009",,"704,218","172,048",4.1,,,
La Union,,"822,352",,"820,343","205,034",4.0,,,
Pangasinan,,"3,163,190",,"3,159,228","776,202",4.1,,,
,,,,,,,,,
Region II (Cagayan Valley),,"3,685,744",,"3,679,748","907,472",4.1,,,
Batanes,,"18,831",,"18,593","5,547",3.4,,,
Cagayan,,"1,268,603",,"1,265,540","301,528",4.2,,,
Isabela,,"1,697,050",,"1,695,539","422,670",4.0,,,
Nueva Vizcaya,,"497,432",,"496,546","128,181",3.9,,,
Quirino,,"203,828",,"203,530","49,546",4.1,,,
,,,,,,,,,
Region III (Central Luzon),,"12,422,172",,"12,387,811","3,040,488",4.1,,,
Aurora,,"235,750",,"234,991","57,037",4.1,,,
Bataan,,"853,373",,"849,575","208,941",4.1,,,
Bulacan,,"3,708,890",,"3,696,937","920,608",4.0,,,
Nueva Ecija,,"2,310,134",,"2,306,751","572,583",4.0,,,
Pampanga,,"2,437,709",,"2,433,144","573,920",4.2,,,
City of Angeles,,"462,928",,"461,165","116,343",4.0,,,
Tarlac,,"1,503,456",,"1,499,064","359,561",4.2,,,
Zambales,,"649,615",,"647,545","165,045",3.9,,,
City of Olongapo,,"260,317",,"258,639","66,450",3.9,,,
,,,,,,,,,
Region IV-A (CALABARZON),,"16,195,042",,"16,139,770","4,062,720",4.0,,,
Batangas,,"2,908,494",,"2,902,855","716,192",4.1,,,
Cavite,,"4,344,829",,"4,318,663","1,096,120",3.9,,,
Laguna,,"3,382,193",,"3,373,136","915,398",3.7,,,
Quezon,,"1,950,459",,"1,945,444","483,703",4.0,,,
City of Lucena,,"278,924",,"278,347","66,905",4.2,,,
Rizal,,"3,330,143",,"3,321,325","784,402",4.2,,,
,,,,,,,,,
MIMAROPA Region,,"3,228,558",,"3,212,287","792,875",4.1,,,
Marinduque,,"239,207",,"238,830","60,557",3.9,,,
Occidental Mindoro,,"525,354",,"521,444","126,633",4.1,,,
Oriental Mindoro,,"908,339",,"906,661","215,076",4.2,,,
Palawan,,"939,594",,"934,669","230,836",4.0,,,
City of Puerto Princesa,,"307,079",,"302,611","82,134",3.7,,,
Romblon,,"308,985",,"308,072","77,639",4.0,,,
,,,,,,,,,
Region V (Bicol Region),,"6,082,165",,"6,067,290","1,365,044",4.4,,,
Albay,,"1,374,768",,"1,372,550","311,448",4.4,,,
Camarines Norte,,"629,699",,"628,807","144,155",4.4,,,
Camarines Sur,,"2,068,244",,"2,062,277","455,276",4.5,,,
Catanduanes,,"271,879",,"270,775","60,352",4.5,,,
Masbate,,"908,920",,"906,731","206,351",4.4,,,
Sorsogon,,"828,655",,"826,150","187,462",4.4,,,
,,,,,,,,,
Region VI (Western Visayas),,"7,954,723",,"7,935,531","1,939,989",4.1,,,
Aklan,,"615,475",,"612,985","151,381",4.0,,,
Antique,,"612,974",,"611,478","147,696",4.1,,,
Capiz,,"804,952",,"803,879","202,033",4.0,,,
Guimaras,,"187,842",,"187,576","47,476",4.0,,,
Iloilo,,"2,051,899",,"2,048,039","506,187",4.0,,,
City of Iloilo,,"457,626",,"455,287","104,313",4.4,,,
Negros Occidental 1,,"2,623,172",,"2,618,672","637,967",4.1,,,
